time,% weight zein,% volume ethanol,absolute volume ethanol (ml),absolute volume water (ml),calculated mass zein (g),measured mass zein (g),% error,purpose
2023-06-22 14:40,50.0%,70.0%,1.75,0.75,2.1311,2.1236,0.35%,cdht
2023-06-26 14:35,50.0%,60.0%,1.2,0.8,1.747,1.7425,0.26%,diameter (measuring slide)
2023-06-27 12:19,50.0%,70.0%,1.4,0.6,1.7049,1.7051,0.01%,diameter marked slide
2023-06-27 12:47,50.0%,70.0%,1.4,0.6,1.7049,1.72,0.89%,diameters 
2023-06-28 09:39,49.0%,60.0%,1.2,0.8,1.6785,1.6706,0.47%,failure rate
2023-06-28 09:52,48.0%,60.0%,1.2,0.8,1.6127,1.6124,0.02%,failure rate
2023-06-28 10:15,47.0%,60.0%,1.2,0.8,1.5493,1.5443,0.32%,failure rate
2023-06-28 10:30,46.0%,60.0%,1.2,0.8,1.4882,1.4845,0.25%,failure rate
2023-06-28 10:42,45.0%,60.0%,1.2,0.8,1.4294,1.4264,0.21%,failure rate
2023-07-10 09:54,50.0%,60.0%,1.2,0.8,1.747,1.743,0.23%,AFM
2023-07-10 10:11,50.0%,70.0%,1.4,0.6,1.7049,1.703,0.11%,AFM
2023-08-08 10:56,50.0%,70.0%,2.1,0.9,2.5573,2.536,0.83%,cone
2023-08-15 15:17,50.0%,70.0%,2.1,0.9,2.5573,2.5473,0.39%,cone
2023-08-23 13:45,50.0%,90.0%,2.7,0.3,2.4308,2.4303,0.02%,cone
