time,pct weight zein,pct volume ethanol,abs mass zein (g),abs volume ethanol (ml),abs volume water (ml)
2023-06-01 10:58,50.00%,50.00%,2.6206,1.8,1.2
2023-06-11 13:54,40.00%,60.00%,2.3294,2.4,1.6
2023-06-11 13:54,40.00%,90.00%,2.1607,3.6,0.4
2023-06-11 13:54,0.00%,60.00%,0,3,2
2023-06-11 13:54,0.00%,90.00%,0,4.5,0.5
2023-06-12 15:47,50.0%,70.0%,2.5573,2.0999999999999996,0.9000000000000004
2023-06-12 15:49,50.0%,80.0%,2.4941,2.4000000000000004,0.5999999999999996
2023-06-12 16:04,50.0%,90.0%,2.4308,2.7,0.2999999999999998
2023-06-20 15:54,50.0%,60.0%,0.8735,0.6,0.4
2023-06-20 16:17,50.0%,70.0%,0.8524,0.7,0.30000000000000004
2023-06-20 16:27,50.0%,80.0%,0.8314,0.8,0.19999999999999996
2023-06-20 16:29,50.0%,90.0%,0.8103,0.9,0.09999999999999998
